Name	Name_id	Type	Review	N_review	Phone
Brothers Pizza	brothers-pizza-brooklyn	pizza	3.5	37	+17187681700
Connecticut Muffin	connecticut-muffin-brooklyn-2	bakeries	3.5	73	+17187682022
Commonwealth	commonwealth-brooklyn	bars	4.0	162	+17187682040
Dumplings & Things	dumplings-and-things-brooklyn	asianfusion	3.5	180	+17187682200
Tikka Indian Grill	tikka-indian-grill-brooklyn-2	indpak	4.5	119	+17187682262
Bareburger	bareburger-brooklyn	burgers	3.5	377	+17187682273
Gather	gather-brooklyn	gourmet	4.0	73	+17187682439
Postmark Cafe	postmark-cafe-brooklyn	coffee	4.5	127	+17187682613
Brooklyn's Tiki Bar	brooklyns-tiki-bar-brooklyn	tikibars	3.0	18	+17187682797
Taqueria El Maguey	taqueria-el-maguey-brooklyn	mexican	4.5	33	+17187682846
Terrace Bagels	terrace-bagels-brooklyn	bagels	4.0	262	+17187683943
The Gate	the-gate-brooklyn	beerbar	3.5	200	+17187684329
Bar Toto	bar-toto-brooklyn	italian	3.5	227	+17187684698
KFC	kfc-brooklyn-24	hotdogs	2.5	11	+17187684853
Mr Falafel	mr-falafel-brooklyn	mideastern	4.0	138	+17187684961
Pizza Plus	pizza-plus-brooklyn-2	pizza	4.0	180	+17187685327
Taste of China	taste-of-china-brooklyn-5	chinese	3.5	15	+17187685555
La Bagel Delight	la-bagel-delight-brooklyn-4	bagels	4.0	209	+17187686107
Olivier Bistro	olivier-bistro-brooklyn	french	4.0	215	+17187686600
Cousins Deli	cousins-deli-brooklyn	restaurants	3.0	2	+17187686811
Kos Kaffe Roasting House	kos-kaffe-roasting-house-brooklyn	coffee	3.5	135	+17187686868
Peppino's Brick Oven Pizza & Restaurant	peppinos-brick-oven-pizza-and-restaurant-brooklyn-2	pizza	4.5	311	+17187687244
Pork Slope	pork-slope-brooklyn	comfortfood	3.5	394	+17187687675
Indian Spice	indian-spice-brooklyn	indpak	4.5	61	+17187687777
The Bagel Factory	the-bagel-factory-brooklyn-2	bagels	3.5	17	+17187688300
Mike Daddy's Pizza	mike-daddys-pizza-brooklyn	pizza	3.5	63	+17187689700
Ten Japanese Cuisine	ten-japanese-cuisine-brooklyn	japanese	4.0	173	+17187689888
MatchPoint NYC	matchpoint-nyc-brooklyn	gyms	3.0	40	+17187690001
Tacos El Rey	tacos-el-rey-brooklyn	mexican	4.0	40	+17187690116
Taqueria Restaurant & Deli	taqueria-restaurant-and-deli-brooklyn-2	restaurants	0.0	0	+17187690307
N & D Pizza	n-and-d-pizza-brooklyn	pizza	4.0	45	+17187690909
Brennan & Carr	brennan-and-carr-brooklyn-2	sandwiches	4.0	503	+17187691254
Estelle Cafe Lounge	estelle-cafe-lounge-brooklyn-2	lounges	3.0	26	+17187692100
Rocca Cafe Lounge	rocca-cafe-lounge-brooklyn	mediterranean	4.0	174	+17187692525
Domino's Pizza	dominos-pizza-brooklyn-19	pizza	2.0	25	+17187693111
Liman Restaurant	liman-restaurant-brooklyn	turkish	4.0	160	+17187693322
Umi Japanese Cuisine	umi-japanese-cuisine-brooklyn	sushi	3.0	42	+17187693338
Cactus Gourmet	cactus-gourmet-brooklyn	tradamerican	3.5	22	+17187693888
Anatolian Gyro Restaurant	anatolian-gyro-restaurant-brooklyn	turkish	3.5	131	+17187694754
Applebee's	applebees-brooklyn	tradamerican	2.5	132	+17187694889
Roll-N-Roaster	roll-n-roaster-brooklyn	tradamerican	4.0	716	+17187696000
Ginza Japanese Restaurant	ginza-japanese-restaurant-brooklyn	japanese	3.5	85	+17187696028
Argonne Marine Park Post No 107 Vfw	argonne-marine-park-post-no-107-vfw-brooklyn		0.0	0	+17187696094
Coffee Spot Cafe	coffee-spot-cafe-brooklyn	coffee	3.5	54	+17187696666
Kavkazkiy Dvorik Restaurant	kavkazkiy-dvorik-restaurant-brooklyn	turkish	3.0	12	+17187697003
New China	new-china-brooklyn-5	chinese	3.0	10	+17187697429
Delmar Pizzeria	delmar-pizzeria-brooklyn	pizza	4.0	148	+17187697766
MOMO Hibachi Steak House & Bar	momo-hibachi-steak-house-and-bar-brooklyn	japanese	4.0	119	+17187698010
Avenue X Pizza & Grill	avenue-x-pizza-and-grill-brooklyn	pizza	2.5	33	+17187698200
Gyro Express	gyro-express-brooklyn	mideastern	4.0	9	+17187699228
No 1 Chinese Restaurant	no-1-chinese-restaurant-brooklyn-4	chinese	2.0	8	+17187699750
Le Gamin	le-gamin-brooklyn	french	3.5	150	+17187707918
Palace on Fulton Fried Chicken and Pizza	palace-on-fulton-fried-chicken-and-pizza-brooklyn	pizza	0.0	0	+17187711777
Subway	subway-brooklyn-35	hotdogs	3.0	3	+17187711861
Soldiers Caribbean Buffet	soldiers-caribbean-buffet-brooklyn	buffets	0.0	0	+17187713663
Live Fast Food	live-fast-food-brooklyn	hotdogs	0.0	0	+17187713948
Trini Roti House	trini-roti-house-brooklyn	trinidadian	4.5	3	+17187715041
New Peking Restaurant	new-peking-restaurant-brooklyn-3	tradamerican	2.0	1	+17187715505
Chen Jian Wei	chen-jian-wei-brooklyn		0.0	0	+17187718888
Cocks Restaurant	cocks-restaurant-brooklyn	caribbean	3.5	8	+17187718933
New Hong Kong Restaurant	new-hong-kong-restaurant-brooklyn	restaurants	2.0	2	+17187719876
New Natural Chinese Restaurant	new-natural-chinese-restaurant-brooklyn	chinese	0.0	0	+17187730555
Jamrock Jamaican Restaurant	jamrock-jamaican-restaurant-brooklyn	restaurants	3.0	1	+17187732757
Hardee's	hardees-crown-heights	newamerican	4.0	24	+17187732789
Hing Hung Kitchen	hing-hung-kitchen-brooklyn	chinese	2.5	7	+17187733076
Razag	razag-brooklyn	venues	5.0	1	+17187733300
Gloria's Caribbean Cuisine	glorias-caribbean-cuisine-brooklyn-2	caribbean	3.5	220	+17187733476
Chocolatte	chocolatte-brooklyn-7	coffee	4.0	27	+17187733770
Tota's Bakery & Restaurant	totas-bakery-and-restaurant-brooklyn	bakeries	4.0	11	+17187735109
JC Mar	jc-mar-brooklyn	spanish	4.5	6	+17187735238
Crown Fried Chicken	crown-fried-chicken-brooklyn-23	chicken_wings	0.0	0	+17187736817
Kingston Pizza Kosher	kingston-pizza-kosher-brooklyn	pizza	2.5	15	+17187737154
O's Grill Spot	os-grill-spot-brooklyn	caribbean	3.0	102	+17187737369
Katie O's Restaurant	katie-os-restaurant-prospect-lefferts-gardens-2	soulfood	3.5	56	+17187737685
Golden Krust	golden-krust-crown-heights	caribbean	3.5	3	+17187738200
Conrad's Famous Bakery, III	conrads-famous-bakery-brooklyn	bakeries	3.5	34	+17187738266
Soldier's Restaurant	soldiers-restaurant-brooklyn-2	restaurants	0.0	0	+17187739353
Tropical House Baking	tropical-house-baking-brooklyn	bakeries	4.5	32	+17187739523
The Owl Music Parlor	the-owl-music-parlor-brooklyn	bars	4.0	1	+17187740042
Bagel Pub	bagel-pub-brooklyn-2	breakfast_brunch	3.5	108	+17187742243
Mike's Diner	mikes-diner-brooklyn	diners	3.0	40	+17187742400
Pizza Chef	pizza-chef-brooklyn	pizza	3.0	4	+17187743043
Papa John's Pizza	papa-johns-pizza-brooklyn-15	pizza	2.0	1	+17187747272
Kingston Pizza	kingston-pizza-brooklyn	pizza	2.0	17	+17187747665
Organic Love	organic-love-crown-heights	organic_stores	5.0	1	+17187747720
Q Tavern	q-tavern-brooklyn	bars	3.5	2	+17187749021
Mr. Sushi & Sashimi King	mr-sushi-and-sashimi-king-queens-4	sushi	3.5	2	+17187757161
Domino's Pizza	dominos-pizza-fresh-meadows-2	pizza	1.0	69	+17187760330
Pizza Hut	pizza-hut-queens-village	pizza	2.0	34	+17187760606
Las Delicias Restaurant	las-delicias-restaurant-queens-village	dominican	3.5	12	+17187760673
Hong Kong Chinese Restaurant	hong-kong-chinese-restaurant-hollis	chinese	3.5	9	+17187761818
Dave's Chinese Kitchen	daves-chinese-kitchen-fresh-meadows	chinese	4.0	23	+17187762500
Fran Hill Deli	fran-hill-deli-hollis	delis	2.0	4	+17187762949
Domino's Pizza	dominos-pizza-queens-village-2	pizza	1.0	28	+17187763030
Chick In	chick-in-queens-village-2	halal	3.5	72	+17187763776
Panda House	panda-house-hollis	chinese	2.5	5	+17187763838
Association For the Advancement of Blind & Retarded	association-for-the-advancement-of-blind-and-retarded-saint-albans	nonprofit	0.0	0	+17187763900
Subway	subway-queens-village	hotdogs	0.0	0	+17187765085
Burger King	burger-king-queens-village	burgers	2.0	9	+17187765954
Neron's Pizza Restaurant	nerons-pizza-restaurant-queens-village	pizza	3.0	9	+17187766056
Windsor Park Pools	windsor-park-pools-oakland-gardens	propertymgmt	0.0	0	+17187766960
Fountain of Youth Juice Bar & Cafe	fountain-of-youth-juice-bar-and-cafe-queens-village	juicebars	4.5	68	+17187767164
Turquoise Kosher Fish Restaurant	turquoise-kosher-fish-restaurant-fresh-meadows	seafood	4.0	24	+17187767775
Elegant Chinese Kitchen	elegant-chinese-kitchen-queens-village	chinese	0.0	0	+17187768270
Dunkin' Donuts	dunkin-donuts-queens-17	donuts	2.5	11	+17187768609
HinoMaru Ramen	hinomaru-ramen-astoria-2	ramen	4.0	593	+17187770228
Shuya Cafe De Ramen	shuya-cafe-de-ramen-astoria	ramen	4.5	79	+17187770430
La Canela Restaurant & Hookah Lounge	la-canela-restaurant-and-hookah-lounge-astoria	lounges	2.5	69	+17187770778
Al-Sham Sweets & Pastries	al-sham-sweets-and-pastries-astoria	desserts	4.5	122	+17187770876
The Queens Kickshaw	the-queens-kickshaw-astoria	newamerican	4.0	944	+17187770913
Bagel Nosh & Coffee	bagel-nosh-and-coffee-astoria	bagels	3.0	87	+17187770997
Cafe Borbone	cafe-borbone-astoria	restaurants	0.0	0	+17187771023
The Sandwich Bar	the-sandwich-bar-astoria	sandwiches	3.5	286	+17187771078
Brother's Pizzeria	brothers-pizzeria-astoria	pizza	3.5	7	+17187771111
Brooklyn Bagel & Coffee Company	brooklyn-bagel-and-coffee-company-astoria-5	coffee	4.0	342	+17187771121
BLVD Bagel Cafe	blvd-bagel-cafe-astoria	bagels	2.5	37	+17187771273
Starbucks	starbucks-astoria-5	coffee	3.5	63	+17187771305
DiWine	diwine-astoria	newamerican	4.0	628	+17187771355
Farid's Place	farids-place-astoria	spanish	4.0	14	+17187771410
Salerno Pizza	salerno-pizza-astoria	pizza	3.5	27	+17187771500
Melody Cafe	melody-cafe-astoria	hookah_bars	2.0	189	+17187771514
Junko Sushi	junko-sushi-astoria	japanese	3.5	183	+17187771588
Max Bratwurst und Bier	max-bratwurst-und-bier-astoria	german	4.5	236	+17187771635
De Mole Astoria	de-mole-astoria-astoria	mexican	4.0	262	+17187771655
Olde Prague Tavern	olde-prague-tavern-astoria	pubs	4.5	26	+17187771690
Sabor De Cuba	sabor-de-cuba-astoria	bars	4.0	133	+17187771693
Mia Pizza	mia-pizza-astoria	pizza	4.5	69	+17187771700
Las Margaritas Restaurant and Lounge	las-margaritas-restaurant-and-lounge-astoria	mexican	2.5	199	+17187771707
The Bao Shoppe	the-bao-shoppe-astoria	asianfusion	4.0	244	+17187771883
Caffebene	caffebene-astoria	coffee	3.0	59	+17187771958
Burger King	burger-king-new-york-50	burgers	1.0	2	+17187771994
MP Taverna Astoria	mp-taverna-astoria-astoria	greek	4.0	570	+17187772187
Sakura Japanese Cuisine	sakura-japanese-cuisine-astoria	japanese	4.0	154	+17187772188
Lucky Star Kitchen	lucky-star-kitchen-astoria	restaurants	5.0	1	+17187772200
Katch Astoria	katch-astoria-astoria-2	bars	3.0	277	+17187772230
Sweet Afton	sweet-afton-astoria	bars	4.0	878	+17187772570
Osaka	osaka-astoria	japanese	3.5	127	+17187772662
Rocky McBride's	rocky-mcbrides-astoria	sportsbars	4.5	60	+17187772723
Golden Dragon	golden-dragon-astoria	chinese	3.5	61	+17187772727
Salvatoria Kitchen and Bar	salvatoria-kitchen-and-bar-astoria	salvadoran	4.5	35	+17187772829
El Grill Restaurant and Bar	el-grill-restaurant-and-bar-astoria	mexican	4.0	171	+17187775366
Break Bar & Billiards	break-bar-and-billiards-astoria	poolhalls	3.5	307	+17187775400
Flames Afghan Kabab	flames-afghan-kabab-queens	afghani	4.0	29	+17187775432
Gregory's 26 Corner Taverna	gregorys-26-corner-taverna-astoria	greek	4.0	137	+17187775511
Bella Pizza	bella-pizza-astoria	pizza	3.0	76	+17187775533
Saba Restaurant and Grill	saba-restaurant-and-grill-long-island-city	mideastern	3.5	24	+17187775656
THE LETLOVE INN	the-letlove-inn-new-york	bars	4.0	32	+17187775683
After 8 Hookah Cafe	after-8-hookah-cafe-astoria	lounges	3.0	50	+17187775757
Alembi Hookah Bar	alembi-hookah-bar-astoria	hookah_bars	4.0	16	+17187776544
Dunkin' Donuts	dunkin-donuts-astoria-8	coffee	2.0	9	+17187776655
Wave Thai	wave-thai-astoria	thai	4.0	268	+17187776789
Museum of the Moving Image	museum-of-the-moving-image-astoria	movietheaters	4.5	412	+17187776888
Bareburger	bareburger-astoria	burgers	4.0	1063	+17187777011
Boon Chu 2 Thai Place	boon-chu-2-thai-place-astoria	thai	3.5	97	+17187777013
3 Bros Pizza	3-bros-pizza-long-island-city	pizza	3.5	15	+17187777133
Chubby Burgers & Chicken	chubby-burgers-and-chicken-astoria	burgers	3.0	48	+17187777145
Grand Cafe	grand-cafe-astoria	diners	2.5	494	+17187777321
Raven's Head Public House	ravens-head-public-house-astoria	newamerican	3.5	169	+17187777565
Hong Kong House	hong-kong-house-astoria	chinese	3.0	21	+17187777659
Green Apple Delight	green-apple-delight-astoria	juicebars	4.5	24	+17187777731
Burger Club	burger-club-astoria	burgers	4.0	472	+17187777788
Firdos Grill	firdos-grill-astoria	hookah_bars	4.0	82	+17187777797
The Brewery	the-brewery-woodside	sportsbars	4.5	66	+17187778007
Piazza Pizza	piazza-pizza-astoria	pizza	3.5	46	+17187778118
Y J Coffee Shop	y-j-coffee-shop-astoria	coffee	0.0	0	+17187778355
Christos Steak House	christos-steak-house-astoria	steak	4.0	251	+17187778400
Tasty's Diner	tastys-diner-astoria	diners	3.0	212	+17187778830
Hinomaru Ko Ramen	hinomaru-ko-ramen-astoria	ramen	4.5	39	+17187778838
Golden Piggy	golden-piggy-flushing	korean	4.0	30	+17187779292
Wingstop	wingstop-astoria-96	chicken_wings	3.0	174	+17187779464
Samba Grill Brazilian Rodizio	samba-grill-brazilian-rodizio-astoria	brazilian	4.5	12	+17187779477
McDonald	mcdonald-brooklyn-3	hotdogs	2.0	3	+17187780023
Happy Life Fast Food	happy-life-fast-food-crown-heights	chinese	2.5	2	+17187780087
Domino's Pizza	dominos-pizza-brooklyn-33	chicken_wings	2.0	7	+17187780110
Starbucks	starbucks-crown-heights-2	coffee	3.0	32	+17187780140
Lula Bagel	lula-bagel-crown-heights	bagels	4.0	140	+17187780581
PO Lee Chinese Restaurant	po-lee-chinese-restaurant-brooklyn-2	szechuan	4.5	4	+17187781161
Kam Long Kitchen	kam-long-kitchen-brooklyn	restaurants	1.0	1	+17187781711
New Sing Wah Kitchen	new-sing-wah-kitchen-brooklyn	chinese	3.0	1	+17187782216
Mermelstein's Caterers	mermelsteins-caterers-brooklyn	catering	3.5	3	+17187783100
Gloria's West Indian Food	glorias-west-indian-food-brooklyn	trinidadian	3.5	73	+17187784852
Hardee Lee	hardee-lee-crown-heights	chinese	4.0	1	+17187786392
Original Vegetarian Restaurnt	original-vegetarian-restaurnt-brooklyn	restaurants	0.0	0	+17187786660
Zamy Joseph	zamy-joseph-brooklyn		0.0	0	+17187787188
Crown Fried Chicken	crown-fried-chicken-brooklyn-6	hotdogs	4.0	5	+17187787721
McDonald's	mcdonalds-brooklyn-55	hotdogs	1.5	18	+17187788016
New Garden Restaurant	new-garden-restaurant-brooklyn	tradamerican	2.0	1	+17187788496
Masago Bistro	masago-bistro-brooklyn	japanese	3.0	82	+17187788828
Kenneth Binns	kenneth-binns-brooklyn		0.0	0	+17187789564
Weiside China Station	weiside-china-station-woodside-11	chinese	2.5	15	+17187790088
D'Antigua Lounge	d-antigua-lounge-jackson-heights	musicvenues	4.0	21	+17187790128
Cake Mio Bakery	cake-mio-bakery-corona	bakeries	4.0	8	+17187790271
Stop Inn	stop-inn-woodside	diners	3.5	165	+17187790290
Homemade Taqueria	homemade-taqueria-maspeth	mexican	4.5	179	+17187790771
Gyro Grill	gyro-grill-rego-park	greek	3.5	123	+17187790900
Himalayan Yak	himalayan-yak-jackson-heights	himalayan	4.0	402	+17187791119
Taqueria Juarez N Deli Groc	taqueria-juarez-n-deli-groc-elmhurst	delis	4.0	2	+17187791301
Lucky Chinese Restaurant	lucky-chinese-restaurant-woodside	chinese	4.0	17	+17187791350
Tony's Pizzeria & Restaurant	tonys-pizzeria-and-restaurant-corona	pizza	3.5	45	+17187791707
La Gata Golosa Bakery & Restaurant	la-gata-golosa-bakery-and-restaurant-elmhurst	bakeries	3.0	23	+17187791747
Momentos Pizza	momentos-pizza-corona-2	pizza	4.5	3	+17187792026
Au Bon Pain	au-bon-pain-elmhurst	bakeries	3.0	9	+17187792033
Bambino's Pizzeria	bambinos-pizzeria-corona	pizza	0.0	0	+17187792618
Delicias Colombianas	delicias-colombianas-queens	colombian	1.0	1	+17187792784
Bakery La Casa de Los Antojitos	bakery-la-casa-de-los-antojitos-jackson-heights	bakeries	4.5	12	+17187792949
Zhen Good Taste	zhen-good-taste-maspeth	chinese	4.0	12	+17187792996
Shun Wang Restaurant	shun-wang-restaurant-elmhurst	chinese	4.0	95	+17187793330
Subway	subway-woodside	hotdogs	2.0	11	+17187793534
Cheng Garden	cheng-garden-jackson-heights	restaurants	2.0	1	+17187793626
Boston Market	boston-market-woodside	tradamerican	3.0	34	+17187793700
Encuentro 103	encuentro-103-corona	latin	3.0	7	+17187794245
BQE Billiards & Bar	bqe-billiards-and-bar-jackson-heights	poolhalls	3.0	41	+17187794348
Taqueria Chila Corp.	taqueria-chila-corp-queens	mexican	3.0	1	+17187794685
